,Variable,Coefficient,P-value
0,Intercept,-135497076365.62411,0.34171000740475876
1,C(CARD_TYPE)[T.Mastercard],-0.9094297226153316,0.2103080884598144
2,C(CARD_TYPE)[T.Unionpay],50.34064137782684,0.13726554386348844
3,C(CARD_TYPE)[T.Visa],-0.06187107724655272,0.9262201607005105
4,C(INDUSTRY)[T.Business Services],135079901319.00336,0.34171000737643464
5,C(INDUSTRY)[T.Consumer Goods],164705819411.6751,0.3417100073634145
6,C(INDUSTRY)[T.Consumer Services],139670179275.3336,0.34171000736652324
7,C(INDUSTRY)[T.Education],142350893812.76047,0.34171000736477064
8,"C(INDUSTRY)[T.Energy, Environment and Resources]",132323719169.65686,0.34171000737876644
9,C(INDUSTRY)[T.Finance and Investment],136573734419.10184,0.3417100073733881
10,C(INDUSTRY)[T.Food and Beverages],140363823109.82712,0.34171000737793367
11,"C(INDUSTRY)[T.Government, Non-Profit and Civic Organizations]",93105585944.80359,0.34171000744623303
12,C(INDUSTRY)[T.Healthcare and Life Sciences],135497076375.69992,0.3417100073688383
13,"C(INDUSTRY)[T.Hospitality, Travel and Entertainment]",133385048654.07886,0.341710007366377
14,C(INDUSTRY)[T.Legal and Security],126777348402.04373,0.3417100073736381
15,C(INDUSTRY)[T.Manufacturing and Production],132650085672.52148,0.3417100073642394
16,C(INDUSTRY)[T.Real Estate and Construction Services],136968479115.1803,0.34171000736290935
17,C(INDUSTRY)[T.Technology and IT],140987678370.91498,0.3417100073685517
18,C(INDUSTRY)[T.Transportation and Logistics],133824802971.71365,0.3417100073841033
19,C(INDUSTRY)[T.Wholesale],134883730810.29633,0.34171000737317025
20,C(COMPANY_ID)[T.1026],417175056.4227915,0.34171000524261974
21,C(COMPANY_ID)[T.1032],613345565.9729676,0.34171000598339973
22,C(COMPANY_ID)[T.1033],613345565.4425621,0.341710006400078
23,C(COMPANY_ID)[T.104],2112027722.8404078,0.3417100072501269
24,C(COMPANY_ID)[T.1044],1672273399.7004004,0.34171000738957236
25,C(COMPANY_ID)[T.1046],1672273397.4311085,0.3417100080444906
