Variable,Coefficient,P-value
Intercept,-1.7181493000623291,0.8712627160198256
C(COMPANY_ID)[T.1047],-0.13077870391741733,0.1061001521927442
C(COMPANY_ID)[T.1071],-0.2436180012579279,0.007087377037226033
C(COMPANY_ID)[T.1076],-320.24336362934275,0.014253128496021833
C(COMPANY_ID)[T.1090],-154.67031164496473,0.46337206346705617
C(COMPANY_ID)[T.1106],21.25711135667997,0.20062927870511796
C(COMPANY_ID)[T.1117],4.262893805343083,0.9795788004163177
C(COMPANY_ID)[T.1179],27.3707097711885,0.4327131790207214
C(COMPANY_ID)[T.1193],-0.014029691106078573,0.8508065600329191
C(COMPANY_ID)[T.1219],-3.3931938314370953,0.7632364203516182
C(COMPANY_ID)[T.1241],-434.5403289261036,2.9707536039794326e-06
C(COMPANY_ID)[T.125],70.50370983332199,0.0015693990553304333
C(COMPANY_ID)[T.1266],-284.1358915977794,0.03693760961704921
C(COMPANY_ID)[T.1304],12.240892428564258,0.2856658830852254
C(COMPANY_ID)[T.1308],-0.18363701416137845,0.06474847016667035
C(COMPANY_ID)[T.1327],-315.7398298035893,0.0017487856860354367
C(COMPANY_ID)[T.1371],13.249876633301369,0.24186951282023475
C(COMPANY_ID)[T.1423],36.97886572068597,0.015165489701862427
C(COMPANY_ID)[T.1429],-0.16966169786083962,0.011631074672700754
C(COMPANY_ID)[T.1431],10.334329755810472,0.41831215036155867
C(COMPANY_ID)[T.1443],13.495691876583095,0.2797115099425512
C(COMPANY_ID)[T.1456],44.840482452524114,0.0027520191005805557
C(COMPANY_ID)[T.1472],10.999346355547743,0.5416705755245996
C(COMPANY_ID)[T.1496],16.859311323150457,0.15577433248011743
C(COMPANY_ID)[T.1526],31.92561164736508,0.017029611325530526
C(COMPANY_ID)[T.1535],10.039213237414543,0.34752118115719277
C(COMPANY_ID)[T.154],62.97057578624417,0.003563866393327303
C(COMPANY_ID)[T.1546],54.10016509138565,0.016466978898114715
C(COMPANY_ID)[T.1547],-70.30232545238812,0.5310872973577473
C(COMPANY_ID)[T.1608],-198.79173329592186,0.17874752278071807
C(COMPANY_ID)[T.1645],7.773106887422159,0.9593961759781622
C(COMPANY_ID)[T.1649],-1.7679017335016454,0.9703070123444995
C(COMPANY_ID)[T.1672],17.891288949253422,0.1938751846673784
C(COMPANY_ID)[T.1679],906.7302695518579,0.002440191624343362
C(COMPANY_ID)[T.1719],38.76984512993391,0.012187835210996317
C(COMPANY_ID)[T.1732],-410.010528767526,0.6699416956744311
C(COMPANY_ID)[T.1754],51.0799089050433,0.07681809253951016
C(COMPANY_ID)[T.1773],4.842720967291314,0.8375334461466505
C(COMPANY_ID)[T.1778],-0.03866878402969687,0.7867817340964599
C(COMPANY_ID)[T.1794],6.12943415726328,0.6346607041678884
C(COMPANY_ID)[T.1832],-0.153778409344849,0.01991266007412135
C(COMPANY_ID)[T.1844],5.529112018338708,0.8594313861654466
C(COMPANY_ID)[T.1857],34.18506246767832,0.031023979206089777
C(COMPANY_ID)[T.1858],2.9752179567511092,0.813920196927476
C(COMPANY_ID)[T.1867],12.01155037454134,0.42213765730011144
C(COMPANY_ID)[T.1876],24.602660377968647,0.24370793721883044
C(COMPANY_ID)[T.1879],20.22612212911963,0.1607363002197555
C(COMPANY_ID)[T.1940],-5.52716229405915,0.8676050676437773
C(COMPANY_ID)[T.1944],0.05788964301733335,0.376047031305189
C(COMPANY_ID)[T.1957],46.48796976168347,0.323824026069611
C(COMPANY_ID)[T.2018],0.13200183890889283,0.3544485081130061
C(COMPANY_ID)[T.2025],-6.930423732850018,0.6233934829077252
C(COMPANY_ID)[T.2044],16.802259283806713,0.22384012849290746
C(COMPANY_ID)[T.2071],-0.009520798148325016,0.896305070098415
C(COMPANY_ID)[T.2074],45.37999797012898,0.25124849402075977
C(COMPANY_ID)[T.2081],20.455584610209428,0.5240983119520072
C(COMPANY_ID)[T.2084],26.36563042535962,0.18534968379424266
C(COMPANY_ID)[T.2090],-0.2846219792632565,0.00047477899749400485
C(COMPANY_ID)[T.2098],-558.6644451113962,0.4466017919163835
C(COMPANY_ID)[T.2143],37.54318295539486,0.07819018372746113
C(COMPANY_ID)[T.2145],85.57155353534594,0.014499960968647762
C(COMPANY_ID)[T.2157],73.45780234566263,0.004385363770817406
C(COMPANY_ID)[T.2160],-0.026674446316403255,0.8235918717035814
C(COMPANY_ID)[T.2164],15.933974617128356,0.29616514148804557
C(COMPANY_ID)[T.2176],-0.0872508428268578,0.2985993378207337
C(COMPANY_ID)[T.2185],-153.09402612813597,0.27684762117227857
C(COMPANY_ID)[T.2189],-10.428559298403115,0.6728897451343281
C(COMPANY_ID)[T.2203],0.9233755994724504,0.9448355159746035
C(COMPANY_ID)[T.223],0.016778091916753057,0.8659766554386144
C(COMPANY_ID)[T.2235],-29.981293329469345,0.029954944246320652
C(COMPANY_ID)[T.2238],38.62818833633138,0.028921242640974183
C(COMPANY_ID)[T.2288],-163.10262946144758,0.8689450625636865
C(COMPANY_ID)[T.2302],56.62908608986936,0.03698538447027719
C(COMPANY_ID)[T.2316],36.179059889230615,0.22831440147559853
C(COMPANY_ID)[T.2325],19.163227259092537,0.8517360889835228
C(COMPANY_ID)[T.2331],-0.13400498101850766,0.10025582653296931
C(COMPANY_ID)[T.2335],-104.99190974048767,0.19822901725196265
C(COMPANY_ID)[T.2336],-56.24224194371493,0.6332032651944435
C(COMPANY_ID)[T.2340],17.10083751168611,0.291511260852566
C(COMPANY_ID)[T.2341],-0.07320928328442877,0.5406353383407476
C(COMPANY_ID)[T.2347],-58.004089076190496,0.717221637538422
C(COMPANY_ID)[T.2348],-0.34187510419705003,4.783096639776687e-05
C(COMPANY_ID)[T.2359],21.409836533538126,0.21164901174483186
C(COMPANY_ID)[T.2362],-16.80332773274541,0.46819074807750527
C(COMPANY_ID)[T.2364],138.85475083119903,0.36885476910121273
C(COMPANY_ID)[T.2367],231.71156632843548,0.00021465461798221132
C(COMPANY_ID)[T.2371],38.52627209326195,0.35565625465331985
C(COMPANY_ID)[T.2372],-98.20302139682192,0.01961782823202842
C(COMPANY_ID)[T.2383],23.66386267481704,0.08381250569216342
C(COMPANY_ID)[T.2391],392.1360286467043,0.6467615560157112
C(COMPANY_ID)[T.240],-30.222779886415765,0.2700950418448357
C(COMPANY_ID)[T.2405],-302.3852968447238,0.0358348265839988
C(COMPANY_ID)[T.2406],-456.6357282198981,6.953135113318491e-06
C(COMPANY_ID)[T.2425],0.07386771893208943,0.22629348326408355
C(COMPANY_ID)[T.2431],13.004949465400955,0.22265880793538617
C(COMPANY_ID)[T.2432],-94.83078811212184,0.440125817001885
C(COMPANY_ID)[T.2434],-12.756682783951675,0.6301177513205971
C(COMPANY_ID)[T.2441],-194.84527066033115,0.6066815376127228
C(COMPANY_ID)[T.2447],-24.94859847519458,0.2296777955698538
C(COMPANY_ID)[T.2455],40.200376803501,0.06373786592083536
C(COMPANY_ID)[T.2510],15.22159856583221,0.2652717021456368
C(COMPANY_ID)[T.2514],-93.40544742251996,0.6996618298413964
C(COMPANY_ID)[T.2520],148.93752426185586,0.012987798732894622
C(COMPANY_ID)[T.2523],5.587003238468576,0.7929950475161942
C(COMPANY_ID)[T.2537],70.51875588411787,0.26635191501113975
C(COMPANY_ID)[T.254],11.236279486265154,0.31454938379385294
C(COMPANY_ID)[T.2540],-8.227867120520962,0.8172002420389748
C(COMPANY_ID)[T.2548],-139.011626516178,0.21036747699062172
C(COMPANY_ID)[T.2553],22.265311715571677,0.4837070706938935
C(COMPANY_ID)[T.2555],-0.13809280070383334,0.09210310511090132
C(COMPANY_ID)[T.2562],5.07234123518451,0.6693579401479077
C(COMPANY_ID)[T.2567],23.990728126797848,0.2800187595098428
C(COMPANY_ID)[T.2570],20.467230753323168,0.09846652279341998
C(COMPANY_ID)[T.2574],42.65496282463829,0.01886195788348963
C(COMPANY_ID)[T.2575],-2.0916565841115187,0.8911135462450481
C(COMPANY_ID)[T.2599],-2.1212811453557556,0.8974478714900016
C(COMPANY_ID)[T.2609],-0.05664142453637644,0.4989536228090533
C(COMPANY_ID)[T.2614],18.170379048472796,0.8062012426577815
C(COMPANY_ID)[T.2619],0.1391417400808328,0.3289227634215668
C(COMPANY_ID)[T.2624],-76.51013696684382,0.004368296914808715
C(COMPANY_ID)[T.2629],19.210037272992075,0.1554441427495585
C(COMPANY_ID)[T.2638],0.06193386801430163,0.4387001519138497
C(COMPANY_ID)[T.2642],0.29087588026754574,0.9813666001284531
C(COMPANY_ID)[T.2643],400.53362215542256,0.044927140532008594
C(COMPANY_ID)[T.2644],83.68055309901165,1.2903717999775822e-05
C(COMPANY_ID)[T.2645],-1493.0090172990845,0.019496826785828644
C(COMPANY_ID)[T.2663],-81.95557805237237,3.854229781652749e-05
C(COMPANY_ID)[T.2671],230.1003678727003,0.14464230312623133
C(COMPANY_ID)[T.2677],-13.645596147951764,0.42769759901568605
